year,to_country_id,to_country,performer,song,place_contest,sf_num,running_final,running_sf,place_final,points_final,place_sf,points_sf,points_tele_final,points_jury_final,points_tele_sf,points_jury_sf,composers,lyricists,lyrics,youtube_url
2023,se,Sweden,Loreen,Tattoo,1,,9.0,,1.0,583.0,,,243.0,340.0,,,Jimmy Jansson;Jimmy Joker;Loreen;Moa Carlebecker;Peter Boström;Thomas G:son,,Tattoo\n\nI don't wanna go\nBut baby we both know\nThis is not our time\nIt's time to say goodbye\n\nUntil we meet again\n'Cause this is not the end\nIt will come a day\nWhen we will find our way\n\nViolins playing and the angels crying\nWhen the stars align then I'll be there\n\nNo I don't care about them all\n'Cause all I want is to be loved\nAnd all I care about is you\nYou stuck on me like a tattoo\n\nNo I don't care about the pain\nI'll walk through fire and through rain\nJust to get closer to you\nYou stuck on me like a tattoo\n\nI'm letting my hair down\nI'm taking it cool\nYou got my heart in your hand\nDon't lose it my friend\nIt's all that I got\n\nViolins playing and the angels crying\nWhen the stars align then I'll be there\n\nNo I don't care about them all\n'Cause all I want is to be loved\nAnd all I care about is you\nYou stuck on me like a tattoo\n\nNo I don't care about the pain\nI'll walk through fire and through rain\nJust to get closer to you\nYou stuck on me like a tattoo\n\nOh I don't care about them all\n'Cause all I want is to be loved\nAnd all I care about is you\nYou stuck on me like a tattoo\n\nI don't care about the pain\nI'll walk through fire and through rain\nJust to get closer to you\nYou stuck on me like a tattoo\n\nAll I care about is love\nOh oh oh\nAll I care about is love\n\nYou ѕtuck on me like a tаttoo,https://youtube.com/watch?v=BE2Fj0W4jP4
2023,fi,Finland,Käärijä,Cha Cha Cha,2,,13.0,,2.0,526.0,,,376.0,150.0,,,Aleksi Nurmi;Johannes Naukkarinen;Jukka Sorsa,Jere Pöyhönen,"Cha Cha Cha\n\nRankka viikko ja paljon pitkii päiviä takan\nMielenkiintona piña colada ja rata\nIlta on vielä nuori ja aikaa kumota\nTää jäinen ulkokuori on aika tuhota\n\nPidän kaksin käsin kiinni juomista niinku\nCha, cha, cha, cha, cha, cha, cha, ei\nEn mieti huomista ku tartun tuopista niinku\nCha, cha, cha, cha, cha, cha, cha, ei\nHaluun olla sekasin ja vapaa huolista niinku\nCha, cha, cha, cha, cha, cha, cha, ei\nJa mä jatkan kunnes en enää pysy tuolissa niinku\n\nMuutama piña colada on jo takana\nSilti mul on vielä naamataulu vakava, yeah, yeah, ye, ye, yeah\nIlta on vielä nuori ja aikaa kumota\nTää jäinen ulkokuori on aika tuhota\nParketti kutsuu mua ku en oo enää lukossa\nNiinku cha cha cha mä oon tulossa\n\nPidän kaksin käsin kiinni juomista niinku\nCha, cha, cha, cha, cha, cha, cha, ei\nEn mieti huomista ku tartun tuopista niinku\nCha, cha, cha, cha, cha, cha, cha, ei\nHaluun olla sekasin ja vapaa huolista niinku\nCha, cha, cha, cha, cha, cha, cha, ei\nJa mä jatkan kunnes en enää pysy tuolissa niinku vou\n\nNyt lähden tanssimaan\nNiinku cha cha cha\nEnkä pelkääkään tätä maailmaa\nNiinku cha cha cha\nKun mä kaadan päälleni samppanjaa\n\nCha, cha, cha\nToinen silmä jo karsastaa\nJa puhe sammaltaa ku tää toinen puoli must vallan saa\nCha, cha, cha\nEn oo arkena tää mies laisinkaan\nEn oo mut tänään oon se mies, tänään oon se mies\n\nNyt lähden tanssimaan\nNiinku cha cha cha\nEnkä pelkääkään tätä maailmaa\nNiinku cha cha cha\nKun mä kaadan päälleni ѕamppanjaa\n\nNiinku cha cha cha\nCha, cha, cha, cha, cha, cha, cha, aha\nNiinku cha cha cha\nCha, cha, cha, cha, cha, cha, cha\nCha, cha, cha, cha, cha, cha, chа",https://youtube.com/watch?v=l6rS8Dv5g-8
2023,il,Israel,Noa Kirel,Unicorn,3,,23.0,,3.0,362.0,,,185.0,177.0,,,Doron Medalie;May Sfadia;Noa Kirel;Yinon Yahel,,"Unicorn\n\nHey, you don't like the way I'm talking\nHey, so you stand there keep on call me names\nNo, I'm not your enemy so\nIf you're gonna do it, don't do it\n\nHey, do you wanna check my DNA?\nOlder stories, time to go away\nAnd believe in fairytales oh\nIf you're gonna do it…\n\nI'm gonna stand here like a unicorn\nOut here on my own\nI got the power of a unicorn\nDon't you ever learn?\nThat I won't look back\nI won't look down\nI'm going up\nYou better turn around\nThe power of a unicorn\nThe power of a unicorn\n\nHistory caught in a loop\nDon't you wanna change it?\nYou know that we can, you and me\nCan write a new book\nDon't you wanna change it now?\n\nIt's gonna be\nPhenomen-phenomen-phenomenal\nPhenomen-phenomenal\nFeminine-feminine-femininal\n\nI'm gonna stand here like a unicorn\nOut here on my own\nI got the power of a unicorn\nDon't you ever learn?\nThat I won't look back\nI won't look down\nI'm going up\nYou better turn around\nThe power of a unicorn\nThe power of a unicorn\n\nIt's gonna be\nPhenomen-phenomen-phenomenal\nPhenomen-phenomenal\n\nאנ׳לא כמו כולם\nAn'lo kmo kulam\nמול כול העולם, לא\nMul kol ha'olam, lo\n\nIt's gonna be\nPhenomen-phenomen-phenomenal\nPhenomen-phenomenal\n\nYou can call me queen\nאין לי דאווין, לא\nEin li da'awin, lo\n\nYou wanna see me dance?\nYou wanna see me dance?\nYou wanna see me dance?\nWatch me\n\nIt's gonna be\nU-ni-corn\nU-ni-corn\nU-ni-corn\nU-ni-corn\nI'm standing like a…",https://youtube.com/watch?v=Z3mIcCllJXY
2023,it,Italy,Marco Mengoni,Due vite,4,,11.0,,4.0,350.0,,,174.0,176.0,,,Davide Petrella;Davide Simonetta,Davide Petrella;Marco Mengoni,"Due vite\n\nSiamo i soli svegli in tutto l'universo\nE non conosco ancora bene il tuo deserto\nForse è in un posto del mio cuore\nDove il sole è sempre spento\nDove a volte ti perdo\nMa se voglio ti prendo\n\nSiamo un libro sul pavimento in una casa vuota\nChe sembra la nostra\nIl caffè col limone\nContro l'hangover\nSembri una foto mossa\nE ci siamo fottuti ancora una notte\nFuori un locale\nE meno male\n\nSe questa è l'ultima\nCanzone e poi la luna esploderà\nSarò lì a dirti che sbagli, ti sbagli e lo sai\nQui non arriva la musica\nTanto lo so che tu non dormi dormi dormi dormi dormi mai\nChe giri fanno due vite\n\nSiamo i soli svegli in tutto l'universo\nA gridare un po' di rabbia sopra un tetto\nChe nessuno si sente così\nChe nessuno li guarda più i film\nI fiori nella tua camera\nLa mia maglia metallica\n\nSiamo un libro sul pavimento in una casa vuota\nChe sembra la nostra\nPersi tra le persone\nQuante parole\nSenza mai una risposta\nE ci siamo fottuti ancora una notte\nFuori un locale\nE meno male\n\nSe questa è l'ultima\nCanzone e poi la luna esploderà\nSarò lì a dirti che sbagli, ti sbagli e lo sai\nQui non arriva la musica\nE tu non dormi\nE dove sarai? Dove vai?\nQuando la vita poi esagera\nTutte le corse e gli schiaffi, gli sbagli che fai\nQuando qualcosa ti agita\nTanto lo so che tu non dormi\n\nSpegni la luce anche se non ti va\nRestiamo al buio avvolti\nSolo dal suono della voce\nAl di là della follia che balla in tutte le cose\nDue vite guarda che disordine\nSe questa è l'ultima\n(Canzone e poi la luna esploderà) canzone\nSarò lì a dirti che sbagli, ti sbagli e lo sai\nQui non arriva la musica\nTanto lo ѕo che tu non dormi, dormi, dormi, dormi, dormi mai\n\nChe giri fаnno due vite",https://youtube.com/watch?v=d6IiOSut_4M
2023,no,Norway,Alessandra,Queen of Kings,5,,20.0,,5.0,268.0,,,216.0,52.0,,,Alessandra Mele;Henning Olerud;Linda Dale;Stanley Ferdinandez,,"Queen of Kings\n\nCombatteremo sempre bensì\nAmore e fede la gente rapì\nIl nostro motto sarà così:\nVeni vidi vici\n\nShe, queen of the kings\nRunning so fast\nBeating the wind\nNothing in this world could stop the spread of her wings\n\nShe, queen of the kings\nBroken her cage\nThrew out the keys\nShe will be the warrior of north and southern seas\n\nGot raven hair as dark as night\nIcy eyes outta sight, outta sight\nHer heart in spite, is warm and bright\nHer smile awakes the northern light\n\nLooking out she calls\nLai-laida-dai-daida\nWho will conquer all?\nAll\n\nHer name is She, queen of the kings\nRunning so fast\nBeating the wind\nNothing in this world could stop the spread of her wings\n\nShe, queen of the kings\nBroken her cage\nThrew out the keys\nShe will be the warrior of north and southern seas\n\nA firestone forged in flames\nWildest card run the game, run the game\nCan't say the same in this world of change\nDon't fear the pain just break the chain\n\nLooking out she calls\nLai-laida-dai-daida\nWho will conquer all?\nAll\n\nHer name is She, queen of the kings\nRunning so fast\nBeating the wind\nNothing in this world could stop the spread of her wings\n\nShe, queen of the kings\nBroken her cage\nThrew out the keys\nShe will be the warrior of north and southern seas\n\nHer name is She, queen of the kings\nRunning so fast\nBeating the wind\nNothing in this world could stop the spread of her wings\n\nShe, queen of the kings\nBroken her cage\nThrew out the keys\nShe will be the warrior of north and southern seаѕ",https://youtube.com/watch?v=PUHSM_vTqTI
2023,ua,Ukraine,Tvorchi,Heart of Steel,6,,19.0,,6.0,243.0,,,189.0,54.0,,,Andrii Hutsuliak,Jeffery Augustus Kenny,"Heart of Steel\n\nSometimes gotta let it go\nSometimes gotta look away\nSometimes you just gotta know\nWhen to stick your middle finger up in the air\nI cannot explain\nTell you how I feel\nLife is just a game\nAnd I'm playing for the win\n\nDon't be scared to say just what you think\n'Cause no matter how bad, someone's listening\n\nDon't care what you say\nDon't care how you feel\nGet out of my way\n'Cause I got a heart of steel\nDon't care what you say\nOr how you feel\nOh, I got a heart of steel\n\nYou just like to act a fool\nTryna get in my head like\nWhen I turn on my headlights\nI can see right through you\nTryna get a reaction\nI just hit the action move\nНезважаючи на біль\nЯ продовжую свій бій\nСвіт палає\nА ти - дій\nNezvazhayuchy na bil'\nYa prodovzhuyu sviy biy\nSvit palaye\nA ty - diy\n\nDon't be scared to say just what you think\n'Cause no matter how bad, someone's listening\n\nDon't care what you say\nDon't care how you feel\nGet out of my way\n'Cause I got a heart of steel\nDon't care what you say\nOr how you feel\nOh, I got a heart of steel\nDon't care what you say\nOr how you feel\nOh, I got a heart of steel",https://youtube.com/watch?v=I2oqDpefJ1s
2023,be,Belgium,Gustaph,Because of You,7,,16.0,,7.0,182.0,,,55.0,127.0,,,Stef Caers;Jaouad Alloul,,"Because of You\n\nAnd when the world got me going crazy\nI'll carry on\nAnd it's all because of you\nBecause of you\n\nRemember when they told us\n""You're not good enough""\nThen you came into my life\nAnd you changed my world for good\nYou told me to love myself a bit harder than yesterday\n'Cause life is too short and we sure got to celebrate\n\nAnd when the world got me going crazy\nI'll carry on\n'Cause I know I'm strong\nAnd when the world got me going crazy\nI'll carry on\nAnd it's all because of you\nBecause of you\n\nRemember when they tried to break us\nBut look at us now\nYou told me the right things at the right time\nYou got me feeling wild\n\nSee now I love myself much more than I did yesterday\n'Cause life is too short and we sure got to celebrate\n\nAnd when the world got me going crazy\nI'll carry on\n'Cause I know I'm strong\nWhen the world got me going crazy\nI'll carry on\nAnd it's all because of\n\nI'll carry on despite of the things they've said and done\nThey'll never kill this fire\nYour love will take me higher\nIt's all because of you\nBecause of you\nWell, because of you\nBecause of you I keep on going, baby, baby, for a brighter day\n\nAnd when the world got me going crazy\nI'll carry on\nSee, I'll carry on because of you\nWhen the world got me going crazy\nI'll carry on\nSay I'll carry on\nAnd when the world got me going crazy\nSee, I will carry on\nAnd it's all because of you\nBecause of you\nBecаuѕe of you",https://youtube.com/watch?v=U1xD14IMKtg
2023,ee,Estonia,Alika,Bridges,8,,12.0,,8.0,168.0,,,22.0,146.0,,,Alika Milova;Nina Sampermans;Wouter Hardy,,Bridges\n\nNow I'm heading home\nTo solid ground\nRealised that all the lies I've told myself have died\nBring me to the place\nWhere I belong\nFilled with all the memories and dreams I have ignored\n\nAaaaa Aaaa Aaaaa\n\nThere is always time\nTo get back on track\nTearing down the walls\nSlowly every step\nNow I see myself\nBuilding up a world of bridges\n\nThere is one more thing\nYou need to know\nThat I forgive myself for all the lies I said before\nNow I see the road\nOf leading lights\nShowing me where I should go and what to leave behind\n\nAaaa Aaaa\n\nThere is always time\nTo get back on track\nTearing down the walls\nSlowly every step\nNow I see myself\nBuilding up a world of bridges\nYou will find a way\nTo begin again\nNo more time to waste\nOr to play pretend\nNow I see myself\nBuilding up a world of bridges\n\nI remember all the things that I went through\nAll the lies and blurry lines and city lights I knew\nNow I'm strong enough to see what lays inside\nAnd I can feel it all\n\nThere is always time\nTo get back on track\nTearing down the walls\nSlowly every step\nNow I see myself\nBuilding up a world of bridges\nYou will find a way\nTo begin again\nNo more time to waste\nOr to play pretend\nNow I see myself\nBuilding up а world of bridgeѕ,https://youtube.com/watch?v=HsbC-OYMA3s
2023,au,Australia,Voyager,Promise,9,,15.0,,9.0,151.0,,,21.0,130.0,,,Alex Canion;Ashley Doodkorte;Daniel Estrin;Scott Kay;Simone Dow,,"Promise\n\nHave you ever done anything like this before?\nHave you ever done anything like this before?\nIf you've never done anything like this before\nThen you haven't been alive\n\nHave you ever shut all the open doors\nHave you ever just walked on out on your own\nHave you ever just lost your mind when you try to unwind\nOr are you coming right back for more?\n\nI'm here tonight\nPromise me you'll hold me till I die\nI'm by your side\nPromise me it's gonna\nPromise me it's gonna be alright\n\nAh-oh, ah-oh, ah-oh, ah-oh-oh-oh\nPromise me it's gonna be alright\nAh-oh, ah-oh, ah-oh, ah-oh-oh-oh\nPromise me it's gonna be alright\n\nHave you ever been alone too much\nHave you ever prayed for human touch\nHave you ever just lost a little part of you\nTo find a little something new?\n\nCross my heart\nTill the sky turns red in the sunrise\nSince you told me everything's alright\nAh-oh, ah-oh, ah-oh, ah-oh-oh-oh\nSince you told me everything's alright\nAh-oh, ah-oh, ah-oh, ah-oh-oh-oh\nPromise me it's gonna be alright\n\nI'm here tonight\nPromise me you'll hold me till I die\nI'm by your side\nPromise me it's gonna\nPromise me it's gonna\nPromise me it's gonna be alright\n\nAlright\n(Cross my heart\nTill the sky turns red in the sunrise)\nPromise me it'ѕ gonna be alright\n(Be аlright!)\n\nAlright",https://youtube.com/watch?v=GSoy_mJMlMY
2023,cz,Czechia,Vesna,My Sister's Crown,10,,14.0,,10.0,129.0,,,35.0,94.0,,,Adam Albrecht;Michal Jiráň;Patricie Kaňok Fuxová;Šimon Martínek;Tanita Yankova,Kateryna Vatchenko;Patricie Kaňok Fuxová;Tanita Yankova,"My Sister's Crown\n\nMoje sestra do kouta nepůjde\nAni tebe poslouchat nebude\nMoje sestra v srdci je divoká\nCopy zaplést, nikdy si nenechá\nMoje sestra do kouta nepůjde\nAni tebe poslouchat nebude\n\nMy sister's crown\nDon't take it down\nDon't take it down\n\nNobody has right to do it\nShe's beautiful\nAnd capable\nShe is her own queen\nAnd she will prove it\n\nYou can take your hands back\nNo one wants more boys dead\nWe're not your dolls\nWe're not your dolls\n\nLife's not a moneybag\nBlood's on your God's head\nYou can't steal our souls\nYou can't steal our souls\n\nSestro krasyva\nOy ty syl'na\nKhorobra yedyna\nKorona tvoya\n\nSestro krasyva\nOy ty syl'na\nKhorobra yedyna\nKorona tvoya\n\nMy sister's crown\nDon't take it down\n\nDaĭ rŭka ne se strakhuvaĭ\nS drugite sestri popluvaĭ\nV moreto ni nyamame myasto za tezi omrazi\nPazi, pazi\nNe tŭguvaĭ\nKhop trop momite ne sa non-stop na razpolozhenie\nTi prosto che sme sestri do kraĭ znaĭ\n\nYou can take your hands back\nNo one wants more boys dead\nWe're not your dolls\nWe're not your dolls\n\nLife's not a moneybag\nBlood's on your God's head\nYou can't steal our souls\nYou can't steal our souls\n\nSestro krasyva\nOy ty syl'na\nKhorobra yedyna\nKorona tvoya\nSestro krasyva\nOy ty syl'na\nKhorobra yedyna\nKorona tvoya\n\nMy sister's crown\nDon't take it down\nMy sister's crown\nDon't take it down\n\nAll the sisters of the world\nCome together with a prayer\nChoose love over power\n\nSestro krasyva\nOy ty syl'na\nKhorobra yedyna\nKorona tvoya\nSestro krasyva\nOy ty syl'na\nKhorobra yedyna\nKorona tvoya\n\nSestro krasyva\nOy ty syl'na\nKhorobra yedyna\nKorona tvoya\nSestro krasyva\nOy ty syl'na\nKhorobra yedyna\nKorona tvoya\n\nSestro krasyva\nOy ty syl'na\nKhorobra yedyna\nKorona tvoya\nSestro krasyva\nOy ty syl'na\nKhorobra yedyna\nKorona tvoya\n\nJsme v srdcích s tebou\nWe ѕtаnd for you",https://youtube.com/watch?v=ag8qxpvTTy0
